case_id,item_id,account_segment,account_industry,health_score,open_escalation_count,product_archetype,product_family,charge_model,gross_margin_percent,gross_margin_band,strategic_product_tier,attach_product_type,is_core_product,usage_percent,active_user_percent,login_trend_30d,ticket_count_90d,sev1_count_90d,csat_score,current_quantity,current_discount_percent,current_arr,list_unit_price,net_unit_price,payment_risk_band,adoption_band,demo_scenario_key,rule_risk_score,rule_disposition,observed_renewal_outcome,observed_discount_accepted,observed_reviewer_override,observed_arr_delta_percent,risk_label,expansion_label
syn_case_0000,syn_item_0000,MID_MARKET,FINANCIAL_SERVICES,89.4,0,PRO_SERVICES,Professional Services,One Time,34,LOW,SERVICES,SERVICES,0,90.3,69.6,-2.1,1,0,4.9,2,26.0,3554.1,2400,1777.1,HIGH,STRONG,BASE_CASE,0,RENEW,EXPANDED,1,0,10.2,0,1
syn_case_0001,syn_item_0001,MID_MARKET,FINANCIAL_SERVICES,70.9,2,USAGE_CLOUD_INFRA,Infrastructure,Annual / Consumption Commit,62,MEDIUM,STRATEGIC,CORE_PLATFORM,1,35.0,47.8,-16.2,8,2,3.5,1,4.5,2290.8,2400,2290.8,LOW,WEAK,ADOPTION_DECLINE,46,RENEW,WON,1,0,-0.5,39.0,0
syn_case_0002,syn_item_0002,STRATEGIC,MANUFACTURING,89.3,0,USAGE_CLOUD_INFRA,Infrastructure,Annual / Consumption Commit,62,MEDIUM,STRATEGIC,CORE_PLATFORM,1,67.5,86.2,-0.0,3,0,4.9,1,14.7,2047.1,2400,2047.1,MEDIUM,MODERATE,BASE_CASE,0,RENEW,WON,1,0,-1.0,0,0
syn_case_0003,syn_item_0003,ENTERPRISE,HEALTHCARE,98,0,STORAGE_CAPACITY,Infrastructure,Consumption,64,MEDIUM,EXPANSION,CAPACITY,0,69.0,60.2,11.5,0,0,4.0,1,9.9,43261.4,48000,43261.4,MEDIUM,MODERATE,BASE_CASE,0,RENEW,EXPANDED,1,0,23.7,0.7,1
syn_case_0004,syn_item_0004,STRATEGIC,PUBLIC_SECTOR,59.8,4,MARKETPLACE_INTEGRATION,Integrations,Annual Subscription,68,MEDIUM,ATTACH,ADD_ON,0,36.4,51.1,-23.5,4,0,2.7,2,0,180000.0,90000,90000.0,MEDIUM,WEAK,ADOPTION_DECLINE,38,RENEW,WON,1,0,-5.4,24.0,0
syn_case_0005,syn_item_0005,COMMERCIAL,RETAIL,63.1,2,COMPLIANCE_GOVERNANCE,Compliance,Annual Subscription,79,HIGH,STRATEGIC,ADD_ON,0,20.6,21.9,-16.0,3,2,3.6,1,9.9,1081.1,1200,1081.1,LOW,WEAK,ADOPTION_DECLINE,74,RENEW_WITH_CONCESSION,WON,1,0,-1.5,69.3,0
syn_case_0006,syn_item_0006,COMMERCIAL,TELECOM,98,0,PREMIUM_SUPPORT,Support,Annual Subscription,58,MEDIUM,ATTACH,SUPPORT,0,70.9,87.4,13.1,3,1,4.2,1,36.2,30630.9,48000,30630.9,LOW,STRONG,MARGIN_RECOVERY,7,RENEW,WON,0,0,-3.3,16.5,0
syn_case_0007,syn_item_0007,STRATEGIC,HEALTHCARE,66.3,3,CORE_SAAS_SEATS,Applications,Per User / Annual,78,HIGH,CORE,CORE_SUITE,1,50.4,25.9,-16.4,8,0,3.0,3,12.0,31697.3,12000,10565.8,LOW,MODERATE,ADOPTION_DECLINE,52,RENEW,WON,1,0,4.1,46.1,0
syn_case_0008,syn_item_0008,MID_MARKET,TELECOM,83.3,0,PREMIUM_SAAS_SUITE,Applications,Annual Subscription,82,HIGH,STRATEGIC,CORE_SUITE,1,70.1,73.9,0.3,3,0,4.3,1,11.1,10672.2,12000,10672.2,LOW,STRONG,BASE_CASE,0,RENEW,WON,1,0,-4.1,0,0
syn_case_0009,syn_item_0009,ENTERPRISE,TECHNOLOGY,73.2,2,DATA_PLATFORM,AI / Data,Annual Subscription,74,HIGH,STRATEGIC,CORE_PLATFORM,1,82.2,86.1,17.9,0,1,4.9,10,11.9,21137.5,2400,2113.8,LOW,STRONG,BASE_CASE,0,RENEW,WON,1,0,-3.2,0,0
